"cell","mech","N","R","n_ok","n_err","elapsed_sec","resid","resid_se","D_pair","d_trperp","sd_Dpair","lvl_diag","lvl_diag_se","lvl_ar","lvl_ar_se","trperp_diag","trnaive_diag","trperp_ar","trnaive_ar","rho_ar","ar_conv","spec_gap","lam_min","trchk"
"A","MAR",500,20000,20000,0,407.247617959976,-0.232995670627195,0.254550745331219,-1.27559541829415,-1.04259974766695,35.9914439358614,2.61786877498126,0.262531673140626,2.85086444560846,0.0763130942506428,6.91100574601121,6.91100574601121,7.95360549367816,8.73706388301109,0.499404085073402,1,6.07076322875287e-15,0.999999999999988,1.77635683940025e-15
"A","MAR",1000,20000,20000,0,465.969054937363,-0.639434471767144,0.355658973828067,-1.67840908352306,-1.03897461175592,50.2933115419913,1.98129753065004,0.361050971718678,2.62073200241719,0.0744430832681479,6.88804232178993,6.88804232178993,7.92701693354585,8.70642922746605,0.499560501887942,1,5.52575044236168e-15,0.999999999999988,1.77635683940025e-15
"A","MAR",2000,20000,20000,0,575.873828887939,-0.548783651943991,0.503342293698567,-1.58663420174882,-1.03785054980483,71.1797098198042,2.01441718284758,0.507857994173306,2.56320083479157,0.0732294191399757,6.88071492600342,6.88071492600342,7.91856547580825,8.69659233774786,0.499797684659584,1,5.84512982561872e-15,0.99999999999999,1.77635683940025e-15
"Aprime","MCAR",500,20000,20000,0,364.914000988007,0.964035093735698,0.228189060234767,-0.0806113676438203,-1.04464646137952,32.2625013257669,1.39628903013803,0.234837240815361,0.432253936402328,0.0604836374877902,6.9231831334286,6.9231831334286,7.96782959480811,8.75306459398054,0.499976311079694,1,5.83257771510332e-15,0.999999999999988,1.77635683940025e-15
"Aprime","MCAR",1000,20000,20000,0,418.816082000732,0.722010182363691,0.32130241971324,-0.31818144382408,-1.04019162618777,45.4346308973181,0.861512576745078,0.325316441910107,0.139502394381386,0.0580663754292629,6.89541751546281,6.89541751546281,7.93560914165058,8.71611406310853,0.499844057258005,1,5.90129150664496e-15,0.999999999999988,1.77635683940025e-15
"Aprime","MCAR",2000,20000,20000,0,504.873375892639,0.527683118750258,0.45312135131017,-0.511257887834337,-1.03894100658459,64.0773271316295,0.5726182167154,0.456109836106965,0.0449350979651415,0.0566909464140253,6.88760298130121,6.88760298130121,7.9265439878858,8.70561586781332,0.499930188148717,1,5.6929278905618e-15,0.999999999999988,1.77635683940025e-15
